"SYMBOL","ENTREZID"
"DOK7","285489"
"B4GALNT2","124872"
"CSTA","1475"
"FERMT2","10979"
"DEGS2","123099"
"ANKRD30A","91074"
"POPDC1","11149"
"KRT83","3889"
"CXCL2","2920"
"FAM117A","81558"
"RAB39A","54734"
"PCP4","5121"
"AHNAK2","113146"
"CD58","965"
"EFEMP2","30008"
"CEP162","22832"
"MME","4311"
"ROS1","6098"
"NUS1","116150"
"TGFB3","7043"
"CRYM","1428"
"ENTPD8","377841"
"SMIM22","440335"
"S100P","6286"
"FBP1","2203"
"BATF3","55509"
"HOXB13","10481"
"YRDC","79693"
"ST3GAL3","6487"
"TTLL6","284076"
"PHOSPHO1","162466"
"PRDM1","639"
"PLA2G12A","81579"
"XYLT2","64132"
"EDC3","80153"
"ERBB3","2065"
"SP9","100131390"
"LMNTD1","160492"
"PIGQ","9091"
"ANGEL1","23357"
"PUM3","9933"
"SLC7A13","157724"
"KANK4","163782"
"CREB3L4","148327"
"SEC16A","9919"
"REEP2","51308"
"LDLRAD1","388633"
"ESR1","2099"
"BCL10","8915"
"PLA2G2A","5320"
"CDH2","1000"
"PROX2","283571"
"GXYLT2","727936"
"ECH1","1891"
"ZNF512B","57473"
"INO80C","125476"
"HEATR4","399671"
"SLC12A1","6557"
"NLGN1","22871"
"MLXIPL","51085"
"EGR2","1959"
"SELL","6402"
"SCNN1G","6340"
"IFI16","3428"
"BMP5","653"
"TMEM126B","55863"
"ZBTB8OS","339487"
"PRKCD","5580"
"DGKI","9162"
"FAM180A","389558"
"CHRM3","1131"
"MMEL1","79258"
"HCAR1","27198"
"VMAC","400673"
"CIMIP5","130813"
"WNK3","65267"
"NCOA3","8202"
"COL1A2","1278"
"RND1","27289"
"DPYSL2","1808"
"VCAM1","7412"
"DNAI1","27019"
"VNN1","8876"
"PLA2G4A","5321"
"UTP14A","10813"
"TPPP3","51673"
"ITGB3BP","23421"
"FGFR4","2264"
"HAND2","9464"
"HLA-DQA2","3118"
"ESPNL","339768"
"CYP26A1","1592"
"NXPH1","30010"
"RIPK3","11035"
"OSMR","9180"
"HDAC11","79885"
"KMT2C","58508"
"BEX1","55859"
"SESN3","143686"
"KCNIP1","30820"
"COBL","23242"
"NEIL1","79661"
"SPTSSB","165679"
"COL28A1","340267"
"KLF17","128209"
"UTP11","51118"
"P3H1","64175"
"ZNF652","22834"
"PLCH2","9651"
"VCAN","1462"
"ATP1A4","480"
"SCAMP2","10066"
"KLHDC9","126823"
"ZNF385C","201181"
"FRMPD4","9758"
"ADAMTS2","9509"
"NPEPL1","79716"
"TRIM3","10612"
"FAT3","120114"
"DCAF11","80344"
"SBK1","388228"
"NPTX2","4885"
"FOXB1","27023"
"SERPINB2","5055"
"TNFRSF18","8784"
"ZNF821","55565"
"B4GALT6","9331"
"TMBIM6","7009"
"EOMES","8320"
"TMEM210","100505993"
"VPS37D","155382"
"DDX21","9188"
"NECAB1","64168"
"SIK3","23387"
"VSTM5","387804"
"IGFBPL1","347252"
"CYP4F8","11283"
"APOBR","55911"
"SOWAHA","134548"
"KLRG1","10219"
"SCIN","85477"
"APBB1IP","54518"
"PURG","29942"
"TLR7","51284"
"FAM47E","100129583"
"CDYL","9425"
"L3HYPDH","112849"
"CACNA1D","776"
"HS6ST3","266722"
"PDK3","5165"
"FAM209B","388799"
"TGFBR3","7049"
"HAS3","3038"
"ADAM8","101"
"CACFD1","11094"
"SMARCD2","6603"
"SLC29A3","55315"
"FAM174B","400451"
"JAM3","83700"
"BEND4","389206"
"KIF26B","55083"
"ATG4C","84938"
"PLIN1","5346"
"CT83","203413"
"TTC33","23548"
"DCN","1634"
"RAB6C","84084"
"LNX2","222484"
"ABCC8","6833"
"SVEP1","79987"
"NXPH3","11248"
"ABCC12","94160"
"UGT2B15","7366"
"HRH1","3269"
"RAB7B","338382"
"KMT2D","8085"
"RAP1GAP","5909"
"SEMA3A","10371"
"SLC16A6","9120"
"KRT86","3892"
"GATA2","2624"
"ALG1L2","644974"
"TNS4","84951"
"CXCL6","6372"
"ACSM3","6296"
"SLC9A9","285195"
"CLDN18","51208"
"CMTM4","146223"
"PRRX1","5396"
"BCL11A","53335"
"GPR157","80045"
"NECTIN3","25945"
"VWA5B2","90113"
"SGTB","54557"
"LINGO2","158038"
"CD40","958"
"CIB4","130106"
"HECTD4","283450"
"IFI44L","10964"
"SRPX","8406"
"HPSE","10855"
"ABCB4","5244"
"ENTPD2","954"
"VAMP5","10791"
"ROBO4","54538"
"LIFR","3977"
"CLDN4","1364"
"MTCP1","4515"
"TAF1D","79101"
"LFNG","3955"
"OSTM1","28962"
"CLIC3","9022"
"LASP1NB","100505576"
"BICC1","80114"
"SLITRK5","26050"
"CHRM1","1128"
"IL13RA2","3598"
"HOXA9","3205"
"LONP2","83752"
"ETV1","2115"
"ZNF268","10795"
"PER2","8864"
"FBXO10","26267"
"SLC4A8","9498"
"ARL4C","10123"
"ABHD17C","58489"
"PRR15L","79170"
"TMEM191B","728229"
"KATNAL1","84056"
"RGS2","5997"
"DSC3","1825"
"BCAM","4059"
"KAT7","11143"
"PLCH1","23007"
"C9orf85","138241"
"IKBIP","121457"
"ZBTB42","100128927"
"GDNF","2668"
"SF3A3","10946"
"COA7","65260"
"PRR15","222171"
"STAC","6769"
"SHROOM2","357"
"LAMC3","10319"
"SMIM10","644538"
"SFXN2","118980"
"EREG","2069"
"VGF","7425"
"PHF6","84295"
"NBPF8","728841"
"TEKT5","146279"
"C8orf88","100127983"
"EPN3","55040"
"LNX1","84708"
"ZMYM6","9204"
"NRP2","8828"
"MS4A14","84689"
"TMEM150C","441027"
"DDR2","4921"
"CATSPERG","57828"
"GDPD3","79153"
"TRAPPC6A","79090"
"H3-7","440686"
"AP1G1","164"
"OVOL1","5017"
"GSDMB","55876"
"TUT4","23318"
"SEC14L4","284904"
"TMC4","147798"
"PHF8","23133"
"MANEA","79694"
"ZRANB2","9406"
"FAM161A","84140"
"ADGRL2","23266"
"REEP6","92840"
"FAM83H","286077"
"ZNF619","285267"
"BMPER","168667"
"POLR1E","64425"
"BLVRB","645"
"ARFGEF3","57221"
"ADCY2","108"
"GALNT13","114805"
"MARVELD2","153562"
"STX16","8675"
"GPT","2875"
"DISP2","85455"
"TBX2","6909"
"RIOK1","83732"
"LPAR1","1902"
"CD248","57124"
"ADD2","119"
"VBP1","7411"
"CACHD1","57685"
"GPD1L","23171"
"PAK1IP1","55003"
"MNX1","3110"
"ELF5","2001"
"LKAAEAR1","198437"
"CTBP2","1488"
"NPM1","4869"
"RAB11FIP4","84440"
"APLF","200558"
"SACS","26278"
"HDAC9","9734"
"TINCR","257000"
"KCNK6","9424"
"SCART1","619207"
"CDH26","60437"
"ZNF521","25925"
"KLHL5","51088"
"CNTN1","1272"
"ZNF862","643641"
"DNALI1","7802"
"IRAK1","3654"
"ADM","133"
"FLI1","2313"
"ARRDC1","92714"
"ST6GALNAC3","256435"
"ADCY4","196883"
"ZNF160","90338"
"SLC35B1","10237"
"PPP1R3G","648791"
"AKAP12","9590"
"AGTR1","185"
"PDE3A","5139"
"PPDPF","79144"
"MROH6","642475"
"BMP2K","55589"
"OLFML2B","25903"
"CDC42EP5","148170"
"FRMD5","84978"
"FOXA1","3169"
"TTC6","319089"
"SHROOM4","57477"
"ELL3","80237"
"TNR","7143"
"CALHM5","254228"
"PICALM","8301"
"IFITM10","402778"
"SLC2A8","29988"
"RXFP1","59350"
"TFPI","7035"
"PLEKHD1","400224"
"TCF4","6925"
"CA8","767"
"PHACTR3","116154"
"SUCO","51430"
"SMCO2","341346"
"BIRC3","330"
"EDARADD","128178"
"ZNF704","619279"
"PNPLA7","375775"
"SNAP91","9892"
"CTTNBP2NL","55917"
"ITPK1","3705"
"TEX14","56155"
"DNAJC5","80331"
"UBE2Z","65264"
"DACT1","51339"
"RBM46","166863"
"NFIL3","4783"
"ASPHD1","253982"
"PFAS","5198"
"KLRC2","3822"
"SLC9C1","285335"
"PTK6","5753"
"ADRA1B","147"
"STK33","65975"
"CACNA1H","8912"
"TRPC4","7223"
"ADAMTS4","9507"
"DUSP4","1846"
"ECT2L","345930"
"SNAPC1","6617"
"PADI3","51702"
"NHSL2","340527"
"RNASE1","6035"
"TRH","7200"
"SPTBN4","57731"
"CISH","1154"
"CLDN1","9076"
"UPF3B","65109"
"PIGK","10026"
"PEX11A","8800"
"HLX","3142"
"RGL2","5863"
"C2orf72","257407"
"ALDH6A1","4329"
"GCH1","2643"
"ADAT2","134637"
"ZDHHC11B","653082"
"EMP2","2013"
"LDAF1","57146"
"ANKFN1","162282"
"NTF3","4908"
"RABGGTB","5876"
"CSAD","51380"
"SUDS3","64426"
"SMARCA1","6594"
"IFI44","10561"
"TUBA1A","7846"
"FER1L6","654463"
"SERPINE2","5270"
"ZNF552","79818"
"CPNE3","8895"
"ZNF280C","55609"
"GREM1","26585"
"DEPTOR","64798"
"B3GALT1","8708"
"ZNF425","155054"
"TRPC3","7222"
"SLCO1A2","6579"
"DNAJC12","56521"
"SCNN1B","6338"
"ALDH2","217"
"GNL2","29889"
"FCGR1A","2209"
"CARNS1","57571"
"DCBLD2","131566"
"NANS","54187"
"PCP4L1","654790"
"IL24","11009"
"NAA60","79903"
"TP53BP2","7159"
"UHRF2","115426"
"GPR143","4935"
"IGFBP1","3484"
"WASF1","8936"
"RASSF6","166824"
"VSIG10","54621"
"RASAL1","8437"
"SPINK8","646424"
"GSTA3","2940"
"PDXDC1","23042"
"MAP3K14","9020"
"DLG3","1741"
"KCNJ8","3764"
"KLHDC2","23588"
"C1QTNF1","114897"
"ZCCHC7","84186"
"RAB15","376267"
"UGT2B17","7367"
"SLC14A1","6563"
"TMEM62","80021"
"KCNJ2","3759"
"FRAT1","10023"
"SLC9A8","23315"
"LTV1","84946"
"SH3GLB2","56904"
"LMCD1","29995"
"CACNG1","786"
"MEGF11","84465"
"NEUROD2","4761"
"EIF3I","8668"
"PPEF1","5475"
"CST1","1469"
"ATXN2","6311"
"VMA21","203547"
"NR4A1","3164"
"TBC1D3E","102723859"
"HTRA1","5654"
"HAUS6","54801"
"ATOSA","56204"
"CAMK1","8536"
"ZMYM4","9202"
"PTGR1","22949"
"ZDHHC23","254887"
"RBMS1","5937"
"RGS5","8490"
"PAX9","5083"
"TPCN1","53373"
"MOGAT2","80168"
"M1AP","130951"
"ZNF296","162979"
"PERM1","84808"
"MCAM","4162"
"WNK4","65266"
"CD320","51293"
"AP1G2","8906"
"TRAPPC3","27095"
"TCAF2","285966"
"COMT","1312"
"SLC2A4RG","56731"
"KIAA1755","85449"
"MISP3","113230"
"RECQL","5965"
"CYB561","1534"
"LIPH","200879"
"LIN52","91750"
"SH3BP5","9467"
"AIDA","64853"
"STAMBPL1","57559"
"SLC16A14","151473"
"TMEM255A","55026"
"PPP1R14D","54866"
"RASL11B","65997"
"SLC35A1","10559"
"HOXB9","3219"
"GADD45A","1647"
"NEGR1","257194"
"CHI3L2","1117"
"ST6GALNAC2","10610"
"GBP5","115362"
"ITPKC","80271"
"LCT","3938"
"CTHRC1","115908"
"SERPINB4","6318"
"C1QL1","10882"
"TMEM254","80195"
"GNG12","55970"
"SLC6A4","6532"
"CDH1","999"
"MKRN1","23608"
"TRAF4","9618"
"SPDL1","54908"
"TPSG1","25823"
"USP21","27005"
"AGPAT5","55326"
"ELMO3","79767"
"AK2","204"
"PM20D2","135293"
"THEM6","51337"
"CA5B","11238"
"PTP4A2","8073"
"RAE1","8480"
"RARA","5914"
"CSPG4","1464"
"MIEF2","125170"
"NIPAL2","79815"
"TBX18","9096"
"IQANK1","642574"
"C18orf54","162681"
"SLC22A5","6584"
"RARS1","5917"
"GPR4","2828"
"KRT75","9119"
"JAK2","3717"
"ATP1B3","483"
"SIX3","6496"
"FSD1L","83856"
"MOCS3","27304"
"SV2A","9900"
"VWA3A","146177"
"PLA2G10","8399"
"IGFBP3","3486"
"TSPAN1","10103"
"MYCL","4610"
"INPP5J","27124"
"PDZD7","79955"
"ADAM23","8745"
"TBC1D30","23329"
"PHTF1","10745"
"HADH","3033"
"ATG9A","79065"
"TLR1","7096"
"CHST8","64377"
"KXD1","79036"
"CCDC85B","11007"
"CSTF1","1477"
"ENPP3","5169"
"SLIT1","6585"
"FOXJ1","2302"
"FUT11","170384"
"SPART","23111"
"DNAJB4","11080"
"PPP1R37","284352"
"ZFYVE21","79038"
"HTR1B","3351"
"TPPP","11076"
"POLR1F","221830"
"GABRD","2563"
"DCAF5","8816"
"INTS13","55726"
"IFT140","9742"
"HOXA1","3198"
"SLC9A1","6548"
"SMARCAL1","50485"
"ZMYM1","79830"
"S100A10","6281"
"NET1","10276"
"SSH3","54961"
"CBLN1","869"
"GFI1","2672"
"DCHS2","54798"
"BAIAP3","8938"
"AKIRIN1","79647"
"SOAT1","6646"
"NT5DC3","51559"
"NOSTRIN","115677"
"SCMH1","22955"
"ARFGEF2","10564"
"CDH13","1012"
"NCKAP5","344148"
"GLT8D2","83468"
"CDK12","51755"
"LBR","3930"
"HIP1R","9026"
"COMMD8","54951"
"ZNFX1","57169"
"MEDAG","84935"
"PDK2","5164"
"ATP2B2","491"
"CASP1","834"
"ZFHX4","79776"
"TRMT11","60487"
"C3orf70","285382"
"CFAP92","57501"
"ALDH1L1","10840"
"GALNTL6","442117"
"PHF19","26147"
"PAK4","10298"
"TMEM126A","84233"
"FOXG1","2290"
"MALRD1","340895"
"DCBLD1","285761"
"CCDC82","79780"
"TBX4","9496"
"RIIAD1","284485"
"TRPM6","140803"
"PLAUR","5329"
"CTSL","1514"
"CAP1","10487"
"GJB1","2705"
"EHBP1","23301"
"C11orf96","387763"
"PMS1","5378"
"RNF114","55905"
"UNC119B","84747"
"BMS1","9790"
"ACAA2","10449"
"CCNA1","8900"
"ARL13B","200894"
"NHEJ1","79840"
"FAM118B","79607"
"CCDC90B","60492"
"FAM222A","84915"
"NOXRED1","122945"
"APBB1","322"
"PERCC1","105371045"
"WWP1","11059"
"UGT8","7368"
"TLN1","7094"
"CANT1","124583"
"NAXD","55739"
"DISC1","27185"
"PIF1","80119"
"CLMP","79827"
"POLN","353497"
"CELF2","10659"
"MCCC2","64087"
"RFX8","731220"
"SYNPO","11346"
"NKPD1","284353"
"DOCK2","1794"
"MSX2","4488"
"HSPBAP1","79663"
"PELI2","57161"
"MPP4","58538"
"FAT1","2195"
"CEP57","9702"
"MT1E","4493"
"SPPL3","121665"
"BNIPL","149428"
"MED1","5469"
"OR7D2","162998"
"MYO15B","80022"
"UIMC1","51720"
"SPOCK1","6695"
"FAM178B","51252"
"PMP22","5376"
"CCDC159","126075"
"SLC8A2","6543"
"CCDC125","202243"
"MIDEAS","91748"
"GPR162","27239"
"NPR2","4882"
"ZBTB38","253461"
"TMEM229B","161145"
"BMAL2","56938"
"BBS12","166379"
"RPL19","6143"
"KCTD14","65987"
"TAC4","255061"
"SH2D5","400745"
"PAPPA2","60676"
"ARSD","414"
"CC2D2A","57545"
"TNIP3","79931"
"PSMA6","5687"
"TENT5A","55603"
"ZNF684","127396"
"LYPD3","27076"
"SERBP1","26135"
"ACSL1","2180"
"TNFRSF11B","4982"
"COA6","388753"
"PCDH7","5099"
"CHST13","166012"
"CSF1","1435"
"SUPT3H","8464"
"CYP2E1","1571"
"FASN","2194"
"ERRFI1","54206"
"NHERF2","9351"
"ASPG","374569"
"EMID1","129080"
"MYRIP","25924"
"TIMM17B","10245"
"CENPE","1062"
"F5","2153"
"FAT4","79633"
"SLC25A37","51312"
"STEAP1B","256227"
"QKI","9444"
"ANP32E","81611"
"MMP16","4325"
"NEK5","341676"
"CALCOCO2","10241"
"SERTAD2","9792"
"CENATAC","338657"
"STAU1","6780"
"TMEM141","85014"
"DBH","1621"
"ABCG1","9619"
"RGMB","285704"
"ACOT6","641372"
"COMMD7","149951"
"ZNF175","7728"
"TRIB2","28951"
"SERPINB3","6317"
"TRPV4","59341"
"CYFIP2","26999"
"CSGALNACT2","55454"
"DQX1","165545"
"KCNJ11","3767"
"ESRRG","2104"
"OTOGL","283310"
"TPRN","286262"
"ZNF467","168544"
"KIAA1210","57481"
"NCOA7","135112"
"RAB39B","116442"
"AFF1","4299"
"HMGCLL1","54511"
"CYP2A6","1548"
"DKK1","22943"
"FAM98C","147965"
"LRRC55","219527"
"ACVR1B","91"
"NPDC1","56654"
"HSPA13","6782"
"RAB1B","81876"
"C8orf58","541565"
"TNK2","10188"
"ZNHIT6","54680"
"LRTM2","654429"
"SCGB2A1","4246"
"RPL10","6134"
"CSF2","1437"
"AP1M1","8907"
"SYTL3","94120"
"FN1","2335"
"COL5A1","1289"
"MAMLD1","10046"
"KHNYN","23351"
"SPEF1","25876"
"FBXL20","84961"
"SEMA3D","223117"
"CRCT1","54544"
"SLC9B2","133308"
"PCTP","58488"
"RNF224","643596"
"STARD6","147323"
"DYRK3","8444"
"AIRIM","54955"
"STAT3","6774"
"ASB8","140461"
"EPHA1","2041"
"MACROD2","140733"
"SETD1B","23067"
"SYTL1","84958"
"DSCAM","1826"
"PIP4K2A","5305"
"SUGCT","79783"
"GPC5","2262"
"ABCB9","23457"
"PPP1R1B","84152"
"DENND6B","414918"
"DNAJC6","9829"
"TMCC2","9911"
"ATG10","83734"
"RAB26","25837"
"KLRG2","346689"
"ANKH","56172"
"DDX49","54555"
"ANKRD7","56311"
"NFIX","4784"
"FBXO6","26270"
"ACTC1","70"
"TMEM241","85019"
"NEO1","4756"
"CES3","23491"
"GNG2","54331"
"GREB1","9687"
"SYCP2","10388"
"NR3C1","2908"
"DENND5A","23258"
"CYP2A7","1549"
"FAM131B","9715"
"UNC5CL","222643"
"OOEP","441161"
"PRKCQ","5588"
"NBEAL2","23218"
"ATG16L2","89849"
"GTF2F2","2963"
"PDE4A","5141"
"PABPC4","8761"
"ATP13A4","84239"
"MAP3K7","6885"
"FARP1","10160"
"TOM1L1","10040"
"ANKRD55","79722"
"RIPPLY3","53820"
"LRP1","4035"
"SLC25A1","6576"
"KTI12","112970"
"ATM","472"
"ARMC6","93436"
"KALRN","8997"
"MTCL1","23255"
"CPXM1","56265"
"SEPTIN8","23176"
"WASHC2A","387680"
"ARL6","84100"
"ZNF534","147658"
"CHAD","1101"
"TLX1","3195"
"TIMM10","26519"
"MYLIP","29116"
"RASGRF2","5924"
"INPP5D","3635"
"GPR83","10888"
"AMZ1","155185"
"SNF8","11267"
"IL3RA","3563"
"PFKFB4","5210"
"TMEM270","135886"
"CECR2","27443"
"GNG13","51764"
"TMEM184A","202915"
"IDH2","3418"
"PLEKHS1","79949"
"MAOA","4128"
"PARD6B","84612"
"NEK8","284086"
"ZNF823","55552"
"S100A3","6274"
"STRN4","29888"
"EFS","10278"
"ITGB3","3690"
"TRIO","7204"
"SCNN1A","6337"
"GLYATL2","219970"
"SULT1C4","27233"
"MMGT1","93380"
"GGT5","2687"
"CYTH2","9266"
"MAP1B","4131"
"CD14","929"
"CELF3","11189"
"SYT17","51760"
"STARD9","57519"
"SGCB","6443"
"FGF12","2257"
"HID1","283987"
"GPR135","64582"
"RPL26","6154"
"FGF22","27006"
"FOXD3","27022"
"ARMT1","79624"
"CACNA2D2","9254"
"RGCC","28984"
"MREG","55686"
"TTBK1","84630"
"SPRYD3","84926"
"SARDH","1757"
"PTS","5805"
"DLL1","28514"
"CAB39L","81617"
"CENPW","387103"
"CYP46A1","10858"
"JMJD1C","221037"
"PHLDB3","653583"
"CPLX2","10814"
"PNO1","56902"
"NOL8","55035"
"MIER1","57708"
"ACOXL","55289"
"TMEM239","100288797"
"TMEM17","200728"
"ENO1","2023"
"RMDN2","151393"
"AKT1","207"
"GADD45GIP1","90480"
"RHBDF1","64285"
"ZNF300","91975"
"STX2","2054"
"HEY2","23493"
"KIF14","9928"
"LIN7B","64130"
"CCR10","2826"
"ACSF2","80221"
"PTAR1","375743"
"RNF103","7844"
"ANXA9","8416"
"DLAT","1737"
"COL4A6","1288"
"ARSB","411"
"SUPV3L1","6832"
"CFAP45","25790"
"MUSK","4593"
"CKB","1152"
"CRELD1","78987"
"HOXD12","3238"
"CAMP","820"
"PRR5L","79899"
"COQ2","27235"
"LRRC40","55631"
"FAM83E","54854"
"CDH7","1005"
"PLXNB1","5364"
"APOF","319"
"TAFA3","284467"
"RAB11FIP2","22841"
"OGFRL1","79627"
"SREBF1","6720"
"RAB3D","9545"
"HHAT","55733"
"IL17RE","132014"
"GALNT6","11226"
"TRMT1","55621"
"ARL10","285598"
"CYSLTR1","10800"
"PPP1R9B","84687"
"CCDC183","84960"
"LRRC7","57554"
"NRN1","51299"
"IL1RAP","3556"
"SYNGR4","23546"
"SEMA4A","64218"
"TBX10","347853"
"TYW1B","441250"
"SAMD5","389432"
"RTTN","25914"
"FBXO30","84085"
"TMEM266","123591"
"SRCIN1","80725"
"ESRP2","80004"
"SRGAP1","57522"
"ANO4","121601"
"TMX3","54495"
"PDRG1","81572"
"SLC39A14","23516"
"PTPRZ1","5803"
"LRRC2","79442"
"RABGAP1","23637"
"VPS35L","57020"
"UGGT1","56886"
"PLAGL1","5325"
"PIK3IP1","113791"
"UNG","7374"
"CHI3L1","1116"
"EIF5A","1984"
"TMEM39B","55116"
"UCHL5","51377"
"ACSS3","79611"
"SERTAD3","29946"
"SKIC8","80349"
"SHD","56961"
"KREMEN1","83999"
"GCNT7","140687"
"C11orf91","100131378"
"AKIP1","56672"
"C9orf40","55071"
"VNN2","8875"
"DPYSL3","1809"
